Title,Company,Experience,Location,Tags,Ratings,Reviews,Salary,Job_Type,Posted,Min_Exp_Needed,Max_Exp_Needed,Min_Salary,Max_Salary,Avg_Sal
Machine Learning Engineer - Azure Databricks,TalentCo Search Pvt Ltd,4-8 Yrs,Bengaluru,"IT Skills,Python,Data Science,Azure,R,azure,PySpark,Data Scientist",,,,HOT JOB,3 ,4,8,,,
Machine Learning & Reporting,First American (India) Pvt Ltd,7-10 Yrs,Bengaluru,"C++,MS SQL,Data analysis,Simulation,Consulting,Stored procedures,QlikView,Business intelligence",4.1,568.0,,,9 ,7,10,,,
Machine Learning Application Developer,Accenture Solutions Pvt Ltd,4-6 Yrs,Bengaluru,"communication,java,Machine Learning,analytical,Java Servlet,IT Skills,Business process,Analytical skills",4.0,18304.0,,PREFERRED,10 ,4,6,,,
Software Engineer II - Machine Learning | Walmart,TALENT500 TECH (INDIA) PRIVATE LIMITED,3-5 Yrs,Bengaluru,"Java,Machine Learning,Python",,,,HOT JOB,10 ,3,5,,,
machine learning engineer,CRED,1-4 Yrs,Bengaluru,"IT Skills,Java,Python,Data Science,Big Data,AWS,Health insurance,Machine learning",,,,,11 ,1,4,,,
Machine Learning Application Developer,Accenture Solutions Pvt Ltd,8-10 Yrs,Bengaluru,"IT Skills,Java,Python,Data Science,Machine Learning,Oracle,Business process,Architecture",4.0,18304.0,,PREFERRED,12 ,8,10,,,
Data Science Manager - Machine Learning/Artificial Intelligence,Savantys Solutions,8-13 Yrs,"Hyderabad, Bengaluru","Machine Learning,Power BI,JS stack,Tableau,Artificial Intelligence,Python,IT Skills,Data Science",,,,HOT JOB,11 ,8,13,,,
Change Magician - Machine Learning Engineer,17LIVE INC,0-0 Yrs,"Hyderabad, Bengaluru, Delhi","Pytorch,Tensorflow,Matplotlib,R,Algorithms,Keras,Information Retrieval,Machine Learning",,,"5,00,000 - 6,00,000",HOT JOB,27 ,0,0,500000.0,600000.0,550000.0
Data Scientist - Machine Learning,AugmatrixGo,2-5 Yrs,Bengaluru,"Hive,R,Cloud Computing,Data Scientist,Computer Vision,Machine Learning,Deep Learning,SQL",,,,PREMIUM,24 ,2,5,,,
Machine Learning-Specialist,Collabera Services Private Limited,5-10 Yrs,Bengaluru,"Tensorflow,Artificial Intelligence,Machine Learning",,,,HOT JOB,4 ,5,10,,,
Machine Learning Specialist,Collabera Services Private Limited,4-9 Yrs,Bengaluru,"NLP,Linear Regression,Sentiment Analysis,IT Skills,Java,Python,Testing,Data Science",,,"9,50,000 - 19,50,000",PREMIUM,4 ,4,9,950000.0,1950000.0,1450000.0
Machine Learning Engineer,Larsen & Toubro Limited,5-10 Yrs,Mysuru,"Deep learning,Machine Learning,Python",4.1,10413.0,,PREFERRED,5 ,5,10,,,
Opportunity For Machine Learning,V2Solutions,9-14 Yrs,"Udaipur, Mumbai, Bengaluru, Vadodara","IT Skills,Python,Machine Learning",4.0,80.0,"8,00,000 - 18,00,000",HOT JOB,7 ,9,14,800000.0,1800000.0,1300000.0
Machine Learning Application Developer,Accenture Solutions Pvt Ltd,4-6 Yrs,Gurugram,"IT Skills,Python,Data Science,Machine Learning,Business process,deep learning,Data analysis,Consulting",4.0,18304.0,,PREFERRED,1 ,4,6,,,
Senior Software Developer - Nlp/machine Learning/data Science,Cunesoft,5-8 Yrs,Bengaluru,"C#,LINQ,Artificial Intelligence,Data Management,Data Mining,JQuery,Machine Learning,NLP",,,,PREMIUM,29 ,5,8,,,
Senior Software Developer - NLP/ Machine Learning/ Data Science,Cunesoft,5-8 Yrs,Bengaluru,"Data Science,C#,NLP,Artificial Intelligence,Data Mining,.Net,MVC,Machine Learning",,,,HOT JOB,29 ,5,8,,,
Sr. Research Engineer (Machine Learning/ Computer Vision/ Video,Staqu Technologies,4-6 Yrs,Gurugram,"C++,Computer vision,Machine learning,video analytics,image recognition,CNN,deep learning,speech recognition",,,,HOT JOB,4 ,4,6,,,
Machine Learning / Data Analytics,Edge In Asia Recruitment Pvt. Ltd,3-8 Yrs,"Kolkata, Hyderabad, Pune, Ahmedabad, Chennai, Bengaluru, Delhi, Mumbai ","SAS,CNN,Ruby,Keras,TensorFlow,Perl,Caffe,CNTK",,,,HOT JOB,8 ,3,8,,,
Data Scientist / Advanced Analytics - Machine Learning,E2E Infoware Management Services Pvt Ltd,1-5 Yrs,"Chennai, Bengaluru","advanced analytics,deep learning,Artificial Intelligence,R Programming,Machine learning,Python",3.9,5.0,,,30+ ,1,5,,,
Software Developer - NLP /machine Learning/ Data Science,Cunesoft,3-5 Yrs,Bengaluru,"IT Skills,Java,Python,Testing,Machine Learning,Cloud,Project Management,C#",,,,PREMIUM,29 ,3,5,,,
Software Developer - NLP/ Machine Learning/ Data Science,Cunesoft,3-5 Yrs,Bengaluru,"C#,Data Science,NLP,Artificial Intelligence,Data Mining,.Net,Entity Framework,MVC",,,,PREMIUM,29 ,3,5,,,
Machine Learning,Capgemini Technology Services India Limited,4-6 Yrs,Mumbai,"Spark,MLib,Machine Learning,sentiment analysis,PySpark,Python,Data Science,Mesos",3.6,12459.0,,PREFERRED,1 ,4,6,,,
NLP Engineer - Machine Learning,EZ Technologies,4-6 Yrs,"Hyderabad, Gurugram, Bengaluru","ML frameworks,PostgreSQL,AI,BOT,Deep learning,PyTorch,Machine learning,Tableau",2.1,5.0,,PREMIUM,27 ,4,6,,,
Data Scientist - Machine Learning/SQL,Mitron TV,1-3 Yrs,Anywhere,"data analytics,communication,Scala,machine learning,SQL,Python,analytical,IT Skills",,,,HOT JOB,5 ,1,3,,,
Data Scientist / Machine Learning Engineer,PubMatic India Pvt. Ltd.,2-7 Yrs,Pune,"ML Algorithms,R,MLlib,Mathematics,Machine Learning,MATLAB,Statistics,Python",4.6,33.0,,PREFERRED,10 ,2,7,,,
Senior Data Scientist / Machine Learning / AI Engineer,Bion,8-13 Yrs,Bengaluru,"agile,Java,Multidimensional,REST,J2EE,Javascript,SQL,HTML",,,,PREMIUM,30+ ,8,13,,,
Senior Data Scientist / Machine Learning / AI Engineer,Bion,8-10 Yrs,Bengaluru,"REST,agile,HTML,Multidimensional,Javascript,Java,J2EE,SQL",,,,PREMIUM,30+ ,8,10,,,
Machine Learning Application Developer,Accenture Solutions Pvt Ltd,8-10 Yrs,Hyderabad,"communication,Java,scikit,software architecture,Keras,Machine Learning,analytical,data modelling",4.0,18304.0,,PREFERRED,1 ,8,10,,,
Machine Learning - Lead,Opex Global Services,6-11 Yrs,"Mumbai, Pune, Chennai","NoSQL,AI,AWS,NLP,MySQL,Python,NodeJS,Machine learning",,,,HOT JOB,1 ,6,11,,,
Machine Learning Engineer,Optimeyes AI,5-7 Yrs,"Kolkata, Jamshedpur, Ahmedabad, Chennai, Coimbatore, Delhi","Tensorflow,Data Science,Xgboost,R CODE,Artificial Intelligence,Keras,Machine Learning,Deep Learning",,,"7,00,000 - 9,50,000",HOT JOB,7 ,5,7,700000.0,950000.0,825000.0
Machine Learning Apps Engineer,"Qualcomm Technologies, Inc",2-5 Yrs,Bengaluru,"Wireless,C++,Networking,Staffing,Machine learning,Debugging,product life cycle,Data structures",4.3,217.0,,PREMIUM,30+ ,2,5,,,
Machine Learning & Automation Expert - Data Science,GENPACT India Private Limited,6-11 Yrs,"Gurugram, Bengaluru","Data Science,Machine Learning",4.0,10625.0,,PREMIUM,21 ,6,11,,,
Data Scientist/ Machine Learning Consultant,Caspex Tech LLP,5-10 Yrs,Chennai,"Machine Learning,Deep Learning,SQL,IT Skills,Python,Data Science,AWS,Predictive Modeling",,,,PREFERRED,10 ,5,10,,,
Hiring For Machine learning engineer For Hyderabad location,Adecco India Private Limited,2-4 Yrs,Hyderabad,Machine Learning,,,"8,00,000 - 17,00,000",HOT JOB,1 ,2,4,800000.0,1700000.0,1250000.0
Senior Software Developer - NLP / Machine Learning /Data Science,Cunesoft,5-8 Yrs,Bengaluru,"Data Science,C#,NLP,OpenNLP,Artificial Intelligence,Data Mining,.Net,MVC",,,,HOT JOB,29 ,5,8,,,
SR Machine Learning Engineer,codeMantra Pvt Ltd,5-9 Yrs,Chennai,"Image Processing,Deep Learning,Python,Agile,Keras,Java,scikit,Azure",3.9,42.0,"10,00,000 - 16,00,000",,5 ,5,9,1000000.0,1600000.0,1300000.0
SR Machine Learning Engineer,codeMantra Pvt Ltd,5-9 Yrs,Chennai,"Image Processing,Deep Learning,Python,Agile,TensorFlow,written,Java,verbal communication",3.9,42.0,"10,00,000 - 16,00,000",HOT JOB,5 ,5,9,1000000.0,1600000.0,1300000.0
machine learning engineer,CRED,1-4 Yrs,Bengaluru,"IT Skills,Java,Python,Data Science,Big Data,AWS,Health insurance,Machine learning",,,,,11 ,1,4,,,
Machine Learning Application Designer,Accenture Solutions Pvt Ltd,4-6 Yrs,Pune,"Business process,Architecture,data science,Consulting,Machine learning,SCALA,Agile,Oracle",4.0,18304.0,,PREFERRED,1 ,4,6,,,
Machine Learning Application Lead,Accenture Solutions Pvt Ltd,6-8 Yrs,Mumbai,"IT Skills,Python,Data Science,Machine Learning,Cloud,Analytical skills,Statistical analysis,Consulting",4.0,18304.0,,PREFERRED,1 ,6,8,,,
Machine Learning Application Designer,Accenture Solutions Pvt Ltd,2-4 Yrs,Mumbai,"Python Programming,communication,Machine Learning,Google cloud,R,Python,analytical,IT Skills",4.0,18304.0,,PREFERRED,1 ,2,4,,,
Senior Scientist/nlp/machine Learning/data Mining,Career Maker,4-9 Yrs,Bengaluru,"IT Skills,Java,Python,Software Development,Machine Learning,C++,R,NLP",,,,PREMIUM,30+ ,4,9,,,
SR Machine Learning Engineer,codeMantra Pvt Ltd,5-9 Yrs,Chennai,"Image Processing,Deep Learning,Python,Agile,TensorFlow,written,Java,verbal communication",3.9,42.0,"10,00,000 - 16,00,000",HOT JOB,5 ,5,9,1000000.0,1600000.0,1300000.0
Machine Learning Engineer Senior Staff,"Qualcomm Technologies, Inc",4-6 Yrs,Bengaluru,"Computer science,C++,Software design,Linux,Machine learning,Debugging,Automotive,Embedded software",4.3,217.0,,,30+ ,4,6,,,
Machine Learning Application Designer,Accenture Solutions Pvt Ltd,4-6 Yrs,Pune,"Business process,Architecture,data science,Consulting,Machine learning,SCALA,Agile,Oracle",4.0,18304.0,,PREFERRED,1 ,4,6,,,
Machine Learning Application Lead,Accenture Solutions Pvt Ltd,6-8 Yrs,Mumbai,"IT Skills,Python,Data Science,Machine Learning,Cloud,Analytical skills,Statistical analysis,Consulting",4.0,18304.0,,PREFERRED,1 ,6,8,,,
Machine Learning Application Designer,Accenture Solutions Pvt Ltd,2-4 Yrs,Mumbai,"Python Programming,communication,Machine Learning,Google cloud,R,Python,analytical,IT Skills",4.0,18304.0,,PREFERRED,1 ,2,4,,,
Senior Scientist/nlp/machine Learning/data Mining,Career Maker,4-9 Yrs,Bengaluru,"IT Skills,Java,Python,Software Development,Machine Learning,C++,R,NLP",,,,PREMIUM,30+ ,4,9,,,
Software Developer - NLP/ Data Science/ Machine Learning,Cunesoft,3-8 Yrs,Bengaluru,"Data Science,Azure,NLP,LINQ,Artificial Intelligence,Data Mining,.Net,Entity Framework",,,,PREMIUM,29 ,3,8,,,
Prpl Lead-App Dev.- AI Machine Learning Engineer,Ameriprise,3-5 Yrs,Gurugram,"Computer science,C++,Linux,Information security,Machine learning,Asset management,MATLAB,Analytics",3.9,235.0,,PREMIUM,4 ,3,5,,,
Assistant Professor Artificial Intelligence Machine Learning Robotic,Amity University,1-6 Yrs,"Guwahati, Silchar, Bhubaneswar, Agartala, Kolkata, Dibrugarh, Asansol, Gangtok, Durgapur","PHD in Electronics,Artificial Intelligence,Computer Science,Electronics,PHD in Mechanical,Mechanical Engineering,PHD in Computer Science,Machine Learning",3.8,587.0,"1,25,000 - 6,25,000",PREFERRED,5 ,1,6,125000.0,625000.0,375000.0
Machine Learning Engineer,IBM India Pvt. Limited,3-7 Yrs,Bengaluru,"IT Skills,Java,Python,Data Science,Machine Learning,Cloud,DevOps,Solution design",4.0,9896.0,,PREFERRED,19 ,3,7,,,
Camera Systems Engineer - Machine learning,"Qualcomm Technologies, Inc",1-6 Yrs,Bengaluru,"Wireless,Computer science,Computer vision,Data analysis,Image processing,Staffing,Machine learning,Signal processing",4.3,217.0,,PREMIUM,30+ ,1,6,,,
Automotive Machine Learning Engineer - Customer Engineering,"Qualcomm Technologies, Inc",1-6 Yrs,Bengaluru,"Wireless,Computer science,Software design,JTAG,Machine learning,Embedded Linux,oscilloscope,PCIE",4.3,217.0,,,30+ ,1,6,,,
Camera Systems Engineer - Machine learning-Staff,"Qualcomm Technologies, Inc",2-6 Yrs,Bengaluru,"Wireless,Computer science,C++,Data analysis,Image processing,Machine learning,Signal processing,Sensors",4.3,217.0,,PREMIUM,20 ,2,6,,,
Camera Software Systems Engineer - Machine learning Staff,"Qualcomm Technologies, Inc",2-6 Yrs,Bengaluru,"Wireless,Computer science,C++,Data analysis,Prototype,Image processing,Sensors,Automotive",4.3,217.0,,,20 ,2,6,,,
Linux SW Engineer for Machine Learning Solutions,"Qualcomm Technologies, Inc",2-6 Yrs,Bengaluru,"Wireless,C++,Linux,Architecture,Coding,Machine learning,System design,SPI",4.3,217.0,,,30+ ,2,6,,,
Machine Learning Compiler Engineer,"Qualcomm Technologies, Inc",2-6 Yrs,Bengaluru,"Wireless,RTOS,Computer science,Linux,SOC,Configuration management,Machine learning,System design",4.3,217.0,,PREMIUM,30+ ,2,6,,,
"Senior Machine Learning Engineer, Search & Match",Sense Talent Labs,5-10 Yrs,Bengaluru,"deep learning,Automation,Data analysis,Backend,Artificial Intelligence,Machine learning,Data processing,Natural language processing",,,,,30+ ,5,10,,,
Machine Learning Data Scientist,Xamplay,3-7 Yrs,Bengaluru,"Machine learning,data visualization",,,,,30+ ,3,7,,,
"Principal Engineer, Machine Learning and Big Data",Gojek Tech,5-10 Yrs,Bengaluru,"Product management,Product engineering,Performance management,data science,Analytical,Machine learning,Agile,Open source",,,,PREMIUM,19 ,5,10,,,
"Principal Engineer, Machine Learning and Big Data",GO-JEK India,7-13 Yrs,Bengaluru,"Product management,Product engineering,Performance management,data science,Analytical,Machine learning,Agile,Open source",4.4,5.0,,PREMIUM,19 ,7,13,,,
Data Scientist Machine Learning (Commerce BU),Blue Yonder,4-8 Yrs,Bengaluru,"Supply chain,Computer science,Retail,Sales,data science,Machine learning,big data,Monitoring",4.1,156.0,,,30+ ,4,8,,,
DATA SCIENTIST / MACHINE LEARNING EXPERT,Spectrus,4-9 Yrs,Bengaluru,"IT Skills,Testing,Machine Learning,Javascript,AWS,Azure,Supply chain,data cleansing",,,,PREMIUM,30+ ,4,9,,,
